,Symbol,Name,Industry,IndustryCode
0,AAPL,Apple Inc,"컴퓨터, 전화 및 가전제품",571060
1,MSFT,Microsoft Corp,소프트웨어 및 IT서비스,572010
2,AMZN,Amazon.com Inc,다양한 소매업,534020
3,GOOGL,Alphabet Inc Class A,소프트웨어 및 IT서비스,572010
4,TSLA,Tesla Inc,자동차 및 자동차 부품,531010
5,GOOG,Alphabet Inc Class C,소프트웨어 및 IT서비스,572010
6,FB,Meta Platforms Inc Class A,소프트웨어 및 IT서비스,572010
7,NVDA,NVIDIA Corp,반도체 및 반도체 장비,571010
8,ASML,ASML Holding NV ADR,반도체 및 반도체 장비,571010
9,PEP,PepsiCo Inc,음료,541010
10,ADBE,Adobe Inc,소프트웨어 및 IT서비스,572010
11,CSCO,Cisco Systems Inc,커뮤니케이션 및 네트워킹,571020
12,AVGO,Broadcom Inc,반도체 및 반도체 장비,571010
13,CMCSA,Comcast Corp Class A,미디어 및 출판,533020
14,COST,Costco Wholesale Corp,다양한 소매업,534020
15,INTC,Intel Corp,반도체 및 반도체 장비,571010
16,PYPL,PayPal Holdings Inc,소프트웨어 및 IT서비스,572010
17,AZN,AstraZeneca PLC ADR,제약,562010
18,QCOM,Qualcomm Inc,반도체 및 반도체 장비,571010
19,NFLX,Netflix Inc,소프트웨어 및 IT서비스,572010
20,TXN,Texas Instruments Inc,반도체 및 반도체 장비,571010
21,INTU,Intuit Inc,핀테크,573010
22,HON,Honeywell International Inc,복합 기업,544010
23,TMUS,T-Mobile US Inc,통신 서비스,574010
24,SNY,Sanofi SA ADR,제약,562010
25,AMGN,Amgen Inc,제약,562010
26,AMD,Advanced Micro Devices Inc,반도체 및 반도체 장비,571010
27,AMAT,Applied Materials Inc,반도체 및 반도체 장비,571010
28,SBUX,Starbucks Corp,호텔 및 엔터테인먼트,533010
29,JD,JD.Com Inc ADR,다양한 소매업,534020
30,CHTR,Charter Communications Inc Class A,통신 서비스,574010
31,BKNG,Booking Holdings Inc,호텔 및 엔터테인먼트,533010
32,MDLZ,Mondelez International Inc Class A,식품 및 담배,541020
33,ISRG,Intuitive Surgical Inc,헬스케어 장비 및 용품,561010
34,MU,Micron Technology Inc,반도체 및 반도체 장비,571010
35,ABNB,Airbnb Inc Class A,소프트웨어 및 IT서비스,572010
36,GILD,Gilead Sciences Inc,생명과학 및 메디컬 리서치,562020
37,ADP,Automatic Data Processing Inc,소프트웨어 및 IT서비스,572010
38,ADI,Analog Devices Inc,반도체 및 반도체 장비,571010
39,CME,CME Group Inc Class A,투자은행 및 서비스,551020
40,LRCX,Lam Research Corp,반도체 및 반도체 장비,571010
41,CSX,CSX Corp,화물 및 물류 서비스,524050
42,TEAM,Atlassian Corporation PLC Class A,소프트웨어 및 IT서비스,572010
43,FISV,Fiserv Inc,전문 및 상업 서비스,522030
44,REGN,Regeneron Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
45,PDD,Pinduoduo Inc ADR,소프트웨어 및 IT서비스,572010
46,NTES,NetEase Inc ADR,소프트웨어 및 IT서비스,572010
47,EQIX,Equinix Inc,주택 및 상업용 리츠,601020
48,ATVI,Activision Blizzard Inc,소프트웨어 및 IT서비스,572010
49,MRNA,Moderna Inc,생명과학 및 메디컬 리서치,562020
50,VRTX,Vertex Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
51,WDAY,Workday Inc Class A,소프트웨어 및 IT서비스,572010
52,EXC,Exelon Corp,전기 유틸리티,591010
53,KLAC,KLA Corp,반도체 및 반도체 장비,571010
54,MRVL,Marvell Technology Inc,반도체 및 반도체 장비,571010
55,KDP,Keurig Dr Pepper Inc,음료,541010
56,ILMN,Illumina Inc,헬스케어 장비 및 용품,561010
57,ADSK,Autodesk Inc,소프트웨어 및 IT서비스,572010
58,MELI,Mercadolibre Inc,소프트웨어 및 IT서비스,572010
59,MAR,Marriott International Inc Class A,호텔 및 엔터테인먼트,533010
60,BIDU,Baidu Inc ADR,소프트웨어 및 IT서비스,572010
61,NXPI,NXP Semiconductors NV,반도체 및 반도체 장비,571010
62,RIVN,Rivian Automotive Inc Class A,자동차 및 자동차 부품,531010
63,PANW,Palo Alto Networks Inc,소프트웨어 및 IT서비스,572010
64,LCID,Lucid Group Inc,자동차 및 자동차 부품,531010
65,VOD,Vodafone Group PLC ADR,통신 서비스,574010
66,AEP,American Electric Power Company Inc,전기 유틸리티,591010
67,KHC,Kraft Heinz Co,식품 및 담배,541020
68,FTNT,Fortinet Inc,소프트웨어 및 IT서비스,572010
69,MNST,Monster Beverage Corp,음료,541010
70,SNPS,Synopsys Inc,소프트웨어 및 IT서비스,572010
71,WBA,Walgreens Boots Alliance Inc,식품 및 약품소매,543010
72,XLNX,Xilinx Inc,반도체 및 반도체 장비,571010
73,CTSH,Cognizant Technology Solutions Corp Class A,소프트웨어 및 IT서비스,572010
74,ORLY,O'Reilly Automotive Inc,전문품 상점,534030
75,ZM,Zoom Video Communications Inc Class A,소프트웨어 및 IT서비스,572010
76,PAYX,Paychex Inc,전문 및 상업 서비스,522030
77,DDOG,Datadog Inc Class A,소프트웨어 및 IT서비스,572010
78,IDXX,IDEXX Laboratories Inc,헬스케어 장비 및 용품,561010
79,MCHP,Microchip Technology Inc,반도체 및 반도체 장비,571010
80,CTAS,Cintas Corp,전문 및 상업 서비스,522030
81,CDNS,Cadence Design Systems Inc,소프트웨어 및 IT서비스,572010
82,LULU,Lululemon Athletica Inc,섬유 및 의류,532020
83,BNTX,BioNTech SE ADR,생명과학 및 메디컬 리서치,562020
84,DXCM,Dexcom Inc,헬스케어 장비 및 용품,561010
85,XEL,Xcel Energy Inc,전기 유틸리티,591010
86,ERIC,Telefonaktiebolaget LM Ericsson ADR,커뮤니케이션 및 네트워킹,571020
87,EA,Electronic Arts Inc,소프트웨어 및 IT서비스,572010
88,CRWD,CrowdStrike Holdings Inc Class A,소프트웨어 및 IT서비스,572010
89,COIN,Coinbase Global Inc Class A,핀테크,573010
90,ALGN,Align Technology Inc,헬스케어 장비 및 용품,561010
91,EBAY,eBay Inc,소프트웨어 및 IT서비스,572010
92,TSCAP,TriState Capital Holdings Inc ADR,은행,551010
93,TROW,T Rowe Price Group Inc,투자은행 및 서비스,551020
94,ROST,Ross Stores Inc,전문품 상점,534030
95,SBAC,SBA Communications Corp Class A,주택 및 상업용 리츠,601020
96,ODFL,Old Dominion Freight Line Inc,화물 및 물류 서비스,524050
97,PCAR,Paccar Inc,"건설장비 및 대형차, 기차, 배",521020
98,BIIB,Biogen Inc,제약,562010
99,SIVB,SVB Financial Group,은행,551010
100,FAST,Fastenal Co,"건설장비 및 대형차, 기차, 배",521020
101,ZS,Zscaler Inc,소프트웨어 및 IT서비스,572010
102,VRSK,Verisk Analytics Inc,소프트웨어 및 IT서비스,572010
103,FITB,Fifth Third Bancorp,은행,551010
104,MTCH,Match Group Inc,소프트웨어 및 IT서비스,572010
105,TTD,Trade Desk Inc Class A,소프트웨어 및 IT서비스,572010
106,DLTR,Dollar Tree Inc,다양한 소매업,534020
107,CPRT,Copart Inc,전문품 상점,534030
108,NDAQ,Nasdaq Inc,투자은행 및 서비스,551020
109,BKR,Baker Hughes Co Class A,오일 및 가스 장비 및 서비스,501030
110,WTW,Willis Towers Watson PLC,보험,553010
111,OKTA,Okta Inc Class A,소프트웨어 및 IT서비스,572010
112,IBKR,Interactive Brokers Group Inc Class A,투자은행 및 서비스,551020
113,ANSS,ANSYS Inc,소프트웨어 및 IT서비스,572010
114,CERN,Cerner Corp,헬스케어 장비 및 용품,561010
115,CSGP,CoStar Group Inc,소프트웨어 및 IT서비스,572010
116,EXPE,Expedia Group Inc,호텔 및 엔터테인먼트,533010
117,CCEP,Coca-Cola Europacific Partners PLC,음료,541010
118,ZBRA,Zebra Technologies Corp Class A,전자 장비 및 부품,571040
119,RYAAY,Ryanair Holdings PLC ADR,운송업,524060
120,CDW,CDW Corp,소프트웨어 및 IT서비스,572010
